#,CAS Number,SMILES
257,2118-39-0,[Na+].[Na+].[Na+].[Na+].Nc1cc2c(O)c(\N=N\c3ccc(\N=N\c4ccc(cc4)S([O-])(=O)=O)c4ccc(cc34)[S+]([O-])[O-])c(cc2cc1S([O-])(=O)=O)S([O-])(=O)=O
258,36848-41-6,[O-][N+](=O)c1cccc2nc3c(cccc3[N+]([O-])=O)nc21
259,528-29-0,[O-][N+](=O)c1ccccc1[N+]([O-])=O
260,30095-63-7,CCC1(C)CO1
261,275795-12-5,CCc1cc(cc(CC)c1[N+]([O-])=O)-c1ccccc1
262,51481-10-8,CC1=C[C@@H]2O[C@H]3[C@@H](O)C[C@@](C)([C@@]43CO4)[C@@]2(CO)[C@H](O)C1=O
263,2307-69-9,CC(C)OS(=O)(=O)c1ccc(C)cc1
264,62018-89-7,OCCCCN(CCO)N=O
265,28352-32-1,C1CCC2C(C1)C1OC1c1ccccc21
266,129018-59-3,Cn1c2cc(cnc2nc1[N+]([O-])=O)-c1ccccc1
267,139953-76-7,Oc1ccc(\C=N\N2N=Nc3c([nH]c4ccccc43)C2=O)cc1
268,127-42-4,CCC(=O)\C=C\C1C(C)=CCCC1(C)C
269,70644-19-8,Cc1ccc2cc3ccc4cccc5ccc(c2c1)c3c45
270,6270-13-9,OCCN(CCO)c1ccc2ccccc2c1
271,53-86-1,COc1ccc2c(c1)c(CC(O)=O)c(C)n2C(=O)c1ccc(Cl)cc1
272,100-13-0,[O-][N+](=O)c1ccc(C=C)cc1
273,137-05-3,COC(=O)C(=C)C#N
274,Invalid CAS number: 0-05-8,C[C@H](O)CN(C[C@H](C)O)N=O
275,78-10-4,CCO[Si](OCC)(OCC)OCC
276,98-00-0,OCc1ccco1
277,74-85-1,C=C
278,76113-31-0,[O-][N+](=O)c1cc2c3ccccc3sc2c2ccccc12
279,584-03-2,CCC(O)CO
280,97-63-2,CCOC(=O)C(C)=C
281,6441-77-6,[K+].[K+].[O-]c1c(Br)cc2c(Oc3c(Br)c([O-])c(Br)cc3C32OC(=O)c2c(Cl)ccc(Cl)c23)c1Br
282,86334-96-5,CC(N(CC1(O)CCC(O)C(O)C1O)N=O)C(O)=O
283,187674-70-0,[Na+].COc1cc(N=Nc2cc(c3cccc(c3c2)S(O)(=O)=O)S([O-])(=O)=O)c(C)cc1Nc1nc(SCCCS(O)(=O)=O)nc(SCCCS(O)(=O)=O)n1
284,2208-41-5,COc1cc2c(CCNC(C)=O)c[nH]c2cc1O
285,146795-43-9,[O-][N+](=O)c1cc(cs1)C(=O)Nc1ccccc1Br
286,112-31-2,CCCCCCCCCC=O
287,99346-51-7,CCCNc1c(ccc(Cl)c1C(O)=O)[N+]([O-])=O
288,912-60-7,[Cl-].COc1ccc2[C@H](OC(=O)c2c1OC)[C@@H]1[NH+](C)CCc2cc3OCOc3c(OC)c12
289,93-04-9,COc1ccc2ccccc2c1
290,149996-82-7,CCN(C=O)N=O
291,28622-66-4,O[C@H]1C=Cc2c(ccc3ccccc32)[C@@H]1O
292,71-00-1,NC(Cc1c[nH]cn1)C(O)=O
293,26196-04-3,CO[C@@H]1OC1(C)C
294,16306-16-4,Oc1ccc2-c3ccccc3C(=O)c3cccc1c32
295,94-80-4,CCCCOC(=O)COc1ccc(Cl)cc1Cl
296,112636-83-6,Nc1nc(NC2CC2)nc(N)c1C#N
297,192705-52-5,CC(=O)Nc1c(O)cc2c3ccccc3c3cccc1c32
298,624-91-9,CON=O
299,129-79-3,[O-][N+](=O)c1ccc2c(c1)C(=O)c1cc(cc(c-21)[N+]([O-])=O)[N+]([O-])=O
300,17722-52-0,OC(=O)CCC(=O)Nc1ccc(Cl)cc1
301,1785-51-9,O=C1C=Cc2ccc3C(=O)C=Cc4ccc1c2c43
302,114717-14-5,NC(Cn1ccnc1)C(O)=O
303,128753-82-2,COC12OOC1(C)Oc1ccccc12
304,90-12-0,Cc1cccc2ccccc12
305,118745-12-3,CCC(=O)N(O)c1ccc(\C=C\c2ccccc2)cc1
306,145241-76-5,Fc1ccc2cccnc2c1F
307,603-54-3,NC(=O)N(c1ccccc1)c1ccccc1
308,20921-50-0,Cc1ccc(cc1C)C(OC(=O)NC1CCCCC1)(C#C)c1ccccc1
309,27343-29-9,Cc1cc2C(=O)CCCc2c2ccc3ccccc3c12
310,2958-05-6,C[C@H](CCC(O)=O)[C@@H]1CC[C@@H]2[C@H]3CC[C@H]4CC(=O)CC[C@@]4(C)[C@@H]3CC(=O)[C@]12C
311,33703-08-1,CC(C)CCCCCCOC(=O)CCCCC(=O)OCCCCCCC(C)C
312,3697-24-3,Cc1cc2ccccc2c2ccc3ccccc3c12
313,613-92-3,N\C(=N/O)c1ccccc1
314,19655-56-2,CCc1cccc2cccnc12
315,56-23-5,ClC(Cl)(Cl)Cl
316,5417-50-5,CC(=O)Nc1cnc2ccccc2c1
317,60-57-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
318,20020-02-4,Clc1c(Cl)c(Cl)c2ccccc2c1Cl
319,117760-92-6,O[C@@H]1C=Cc2c(cc3c4ccccc4ccc3c2[C@H]1O)[N+]([O-])=O
320,1689-84-5,Oc1c(Br)cc(cc1Br)C#N
321,6358-23-2,Oc1ccccc1Nc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O
322,150-69-6,CCOc1ccc(NC(N)=O)cc1
323,1122-62-9,CC(=O)c1ccccn1
324,98499-60-6,[Cl-].COc1ccccc1[NH2+]CSC
325,146795-41-7,[O-][N+](=O)c1cc(cs1)C(=O)Nc1ccc(Br)cc1
326,52645-53-1,CC1(C)[C@H](\C=C(/Cl)Cl)[C@@H]1C(=O)OCc1cccc(Oc2ccccc2)c1
327,577-19-5,[O-][N+](=O)c1ccccc1Br
328,122349-91-1,Cc1cc(C)c2cc(C)c(N)cc2n1
329,117760-95-9,[O-][N+](=O)c1ccccc1SS/C(Cl)=C(/Cl)C(/Cl)=C(\Cl)Cl
330,38252-75-4,CCCCN(CC(O)CC(O)=O)N=O
331,1155-38-0,Cc1c2ccccc2cc2-c3ccccc3[C@@H]3O[C@@H]3c12
332,644-21-3,CCN(N)c1ccccc1
333,94-20-2,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
334,59405-62-8,CN(C)c1ccc(N=Nc2cccnc2)c(NC(C)=O)c1
335,113-98-4,[K+].CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C([O-])=O
336,69866-21-3,COc1c(O)c2N(CCc2c2cc([nH]c12)C(=O)N1CCc2c1c(O)c(OC)c1[nH]c(cc21)C(=O)N1C[C@H]2C[C@@]32C1=CC(=O)c1[nH]cc(C)c13)C(N)=O
337,98-30-6,CS(=O)(=O)c1ccc(O)c(N)c1
338,74014-51-0,CCCC(=O)O[C@@H]1[C@@H](C)O[C@@H](C[C@]1(C)OC(=O)CC)O[C@H]1[C@@H](C)O[C@H](O[C@H]2[C@@H](CC=O)C[C@@H](C)[C@@H](O)C=CC=CC[C@@H](C)OC(=O)C[C@@H](O)[C@@H]2OC)[C@@H](O)[C@@H]1N(C)C
339,129-09-9,O=C1c2ccc3nc(sc3c2C(=O)c2ccc3nc(sc3c12)-c1ccccc1)-c1ccccc1
340,Invalid CAS number: 0-17-2,CC(C)(Oc1ccc(cc1)[C@@H]1CC1(Cl)Cl)C(O)=O
